,algorithm,similarity_measure,execution_time,n_clusters,labels,Silhouette Score,Davies-Bouldin Index,Mean Inter-Cluster Distance,Modularity,Conductance,Normalized Cut,Rand Index,Adjusted Rand Index,Normalized Mutual Information,melhor_silhouette,cluster
10,hierarchical,CNE Similarity,0.0033707618713378906,3,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 2 0 0
 0 0 0 0 0 2 2 2 2 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 2 0 1 0 1
 1 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 1 0
 0 0 0 0 0 0 2 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",0.10453386059542633,2.0589754904257993,2.369529186405867,,,,0.27133068878470973,2.6852156974375907e-05,0.17781092564162895,False,0
11,spectral,CNE Similarity,0.06456923484802246,3,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 1 1 2 0 1 0
 0 1 1 1 1 1 1 1 1 2 1 1 2 2 1 1 1 1 2 2 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0
 0 1 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 1 1 1 1 1 1 1 2 0 2 0 1 0 1 1 1 1 1 0 0
 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 2 1 1 1 1]",0.06147483942402437,2.568398684746599,2.177272850629947,,,,0.3613415073927155,4.08007570672305e-05,0.21020833709204084,False,0
12,gmm,CNE Similarity,0.12094235420227051,3,"[0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 0 1 1 1 0 1 0 0
 0 0 0 2 2 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0
 0 0 0 0 0 1 1 0 0 0 0 2 0 0 2 1 2 0 0 0 2 0 2 2 0 0 2 0 2 2 2 2 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 2 1 0 0
 0 0 0 0 0 0 1 0 2 2 0 0 1 1 2 0 0 0 0 2 2 2 2 2 0 0 2 0 0 0 0 0 0 2 2 0 2
 2 0 0 0 0 0 0 2 0 2 0 0 0 0 2 0 0 0 2 2 0 0 2 0 2 2 0 2 2 2 2 2 0 2 0 2 2
 0 0 2 2 2 2 2 2 2 0 2 2 0 2]",0.11518918528399674,2.5013072559611484,2.301775619983148,,,,0.4870176703930761,6.846372833600708e-05,0.25845366311199364,False,0
13,som,CNE Similarity,0.005162715911865234,3,"[0 2 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 2 0 0
 0 0 0 2 0 2 2 2 2 0 0 0 0 2 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 0 0 0 2 0 1 2 1
 1 2 0 0 0 2 2 2 2 0 0 0 0 0 2 2 2 0 0 0 0 0 0 2 2 0 0 0 0 2 2 0 0 0 1 0 1
 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 2 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 2 2 0 0
 1 0 1 1 0 0 2 2 0 0 0 0 2 2 0 1 0 0 2 2 2 2 2 0 2 2 0 0 0 0 0 2 2 2 2 0 0
 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 2 2 0 2 0 2 0 2 2 2 1 0 2 2 0 0 0 0 0 2 2
 0 2 0 0 0 0 2 0 0 0 2 2 0 2]",0.06545963872163472,3.52338841703806,2.255730538277767,,,,0.542445005409304,8.54922086450283e-05,0.28419909056028947,False,0
14,kmeans,CNE Similarity,0.0,4,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
15,fuzzy_c_means,CNE Similarity,0.00099945068359375,4,"[3 2 1 1 1 1 2 2 1 1 1 2 2 1 1 0 1 1 2 1 1 1 1 1 1 1 2 2 1 3 3 2 3 1 3 1 1
 3 1 3 2 2 3 3 3 3 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 2 1
 1 2 1 1 3 3 2 0 0 1 1 2 1 1 2 2 2 1 1 1 2 1 0 2 0 1 2 1 2 2 2 0 2 1 1 1 1
 1 1 1 1 3 1 0 1 1 1 1 2 3 1 1 1 1 2 1 1 3 1 1 2 1 1 1 1 3 1 1 2 1 2 3 1 1
 1 1 1 1 1 1 3 0 2 2 1 1 3 3 2 1 1 1 1 2 2 2 2 2 1 3 2 1 1 1 1 1 1 2 2 1 0
 2 0 0 1 2 3 1 2 1 2 1 1 1 1 2 1 0 1 2 2 1 2 2 2 2 2 1 2 2 2 2 2 1 2 1 2 2
 1 3 2 2 2 2 2 2 2 1 2 2 0 2]",0.05644895579499339,3.344499401755754,2.200020797787888,,,,0.6154706094482509,0.00011542033457004515,0.33691331323772,False,0
16,dbscan,CNE Similarity,0.0,4,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0
17,hierarchical,CNE Similarity,0.005000114440917969,4,"[1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 2 1 1
 1 1 1 3 1 2 2 2 2 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 1 1 2 1 0 3 0
 0 1 1 1 1 2 2 3 3 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 0
 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 3 1 1 2 0 1
 1 1 1 1 1 1 2 3 1 1 1 1 2 2 1 1 1 1 1 3 3 3 3 1 1 1 1 1 1 1 1 1 1 3 3 0 1
 1 1 1 1 2 1 1 3 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 3 3 3 0 1 3 3 1 1 1 1 1 3 2
 1 1 1 1 1 1 3 1 1 1 3 1 1 3]",0.1107647542144889,2.148502297980505,2.3693537265686357,,,,0.4450054093040029,5.7822432497371104e-05,0.2765450056756936,False,0
18,spectral,CNE Similarity,0.06981730461120605,4,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 3 1 1 1 0 0 0 0 1 0 0 0
 0 0 0 1 1 0 0 0 0 1 0 1 1 0 2 2 2 0 0 2 1 1 2 2 2 2 2 2 2 1 1 1 0 3 2 1 2
 2 1 0 0 0 0 0 1 1 3 0 1 3 3 1 1 1 1 3 3 1 1 1 1 1 0 1 1 1 1 1 1 1 2 2 2 2
 2 1 2 2 1 1 1 2 2 2 2 1 1 1 1 2 2 1 1 0 1 1 1 1 3 2 3 2 1 2 0 1 1 1 0 2 2
 2 1 2 2 1 1 0 1 1 1 0 0 0 0 1 2 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 2 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 3 1 1 1 1]",0.07496621792445765,2.629323219703275,2.184922493202754,,,,0.5415795167688424,8.519466930878122e-05,0.3121796875480603,False,0
19,gmm,CNE Similarity,0.12627863883972168,4,"[1 0 1 1 1 1 3 1 1 1 1 1 3 1 1 1 1 1 3 1 1 1 1 1 1 1 3 3 1 2 2 2 2 1 2 1 2
 2 2 2 0 3 2 2 2 2 1 2 2 2 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 1 1 2 1 1 0 1
 1 1 2 2 2 2 2 0 1 1 1 3 1 1 3 3 0 1 1 1 3 1 1 3 1 1 3 1 3 0 0 1 3 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 1 1 1 3 1 1 1 1 1 1 2 0 1 3 2 1 1
 1 1 1 1 1 1 2 0 3 3 2 2 2 2 3 1 2 1 1 0 0 0 0 3 1 1 3 1 1 1 1 1 1 0 0 1 1
 3 1 1 1 1 3 1 2 1 3 1 1 1 1 1 1 1 1 3 0 1 1 3 0 0 0 1 3 0 0 3 3 1 3 1 0 3
 1 1 3 3 3 3 0 3 3 1 0 3 1 0]",0.10839342605364648,2.416269797987525,2.2485401253058064,,,,0.6013703570140642,0.00010878756600200346,0.3425984334277554,False,0
